time(msec),fuel_pressure(psi),chamber_pressure(psi),oxygen_pressure(psi),loadcell(lbs)
18153243,99,0,0,0
18153264,85,0,0,0
17891133,85,0,0,0
17891151,79,0,0,0
17891168,83,0,0,0
15007599,97,0,0,0
15007615,97,0,0,0
17891216,103,0,0,0
17891235,93,0,0,0
17891259,79,0,0,0
19201986,93,0,0,0
17891283,97,0,0,0
17891299,79,0,0,0
18153460,85,0,0,0
17891343,105,0,0,0
18153493,95,0,0,0
18153510,83,0,0,0
18153527,93,0,0,0
17891399,87,0,0,0
17891416,97,0,0,0
18153577,85,0,0,0
18153593,101,0,0,0
18153610,97,0,0,0
18153627,87,0,0,0
17891503,79,0,0,0
18940092,83,0,0,0
17891535,81,0,0,0
18940125,93,0,0,0
17891566,105,0,0,0
18153727,87,0,0,0
18153743,93,0,0,0
17891616,85,0,0,0
15008055,101,0,0,0
18153801,79,0,0,0
18153810,85,0,0,0
18940259,93,0,0,0
18153843,95,0,0,0
18153860,81,0,0,0
18153877,79,0,0,0
18153901,85,0,0,0
14746048,95,0,0,0
18153927,93,0,0,0
17891799,87,0,0,0
17891816,99,0,0,0
18153977,93,0,0,0
17891849,87,0,0,0
18940442,103,0,0,0
17891883,83,0,0,0
18940475,91,0,0,0
18154060,97,0,0,0
15008349,97,0,0,0
18154093,85,0,0,0
18154112,87,0,0,0
17891983,97,0,0,0
17891999,79,0,0,0
17892016,85,0,0,0
17892039,95,0,0,0
17892055,101,0,0,0
17892076,85,0,0,0
17892083,95,0,0,0
18154251,97,0,0,0
18154272,91,0,0,0
18154279,87,0,0,0
18154301,91,0,0,0
17892166,97,0,0,0
18154327,91,0,0,0
18154343,89,0,0,0
17892224,97,0,0,0
17892233,89,0,0,0
18154393,83,0,0,0
18154410,91,0,0,0
17892283,93,0,0,0
18940875,85,0,0,0
18154460,89,0,0,0
17892333,97,0,0,0
18154493,89,0,0,0
18154510,83,0,0,0
17892383,89,0,0,0
18154543,95,0,0,0
17892416,83,0,0,0
18154577,73,0,0,0
17892449,63,0,0,0
13698170,28,0,0,0
14746755,12,0,0,0
13698195,0,0,0,0
10880164,2,0,0,0
9569461,0,0,0,0
10880197,0,0,0,0
10880216,0,0,0,0
9831655,0,0,0,0
6685943,0,0,0,0
6685968,0,0,0,0
5637401,0,0,0,0
5637417,0,0,0,0
